mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
22	22	82	86	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		9	63	D#4	4	160
22	22	82	86	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	158
23	23	84	88	2.0		0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	171
23	23	84	88	2.0		0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3	169
23	23	84	88	2.0		0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	167
23	23	84	88	2.0		0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	165
23	23	86	90	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	172
23	23	86	90	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	B3	3	170
23	23	86	90	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	168
23	23	86	90	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	166
23	23	87	91	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	173
24	24	88	92	4.0		0	0	4/4	2	2	1	1	1		5	47	B2	2	177
24	24	88	92	4.0		0	0	4/4	2	1	1	1	1		5	59	B3	3	176
24	24	88	92	4.0		0	0	4/4	1	2	1	1	1		9	63	D#4	4	175
24	24	88	92	4.0		0	0	4/4	1	1	1	1	1		6	66	F#4	4	174
25	25	92	96	2.0		0	0	4/4	2	2	1/2	1/2	1		1	55	G3	3	184
25	25	92	96	2.0		0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3	182
25	25	92	96	2.0		0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	178
25	25	92	96	2.0		0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	180
25	25	94	98	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		6	54	F#3	3	185
25	25	94	98	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	183
25	25	94	98	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		9	63	D#4	4	181
25	25	94	98	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	F#4	4	179
26	26	96	100	1.0		0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	194
26	26	96	100	2.0		0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3	191
26	26	96	100	2.0		0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	189
26	26	96	100	2.0		0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	186
26	26	97	101	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	195
26	26	98	102	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	196
26	26	98	102	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	192
26	26	98	102	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1	1	4	64	E4	4	190
26	26	98	102	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	187
26	26	99	103	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	197
26	26	99	103	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	193
26	26	99	103	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	188
27	27	100	104	2.0		0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2	205
27	27	100	104	2.0		0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	202
27	27	100	104	2.0		0	0	4/4	1	2	1/2	1/2	1	-1	4	64	E4	4	200
27	27	100	104	2.0		0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	198
27	27	102	106	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		5	47	B2	2	206
27	27	102	106	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	203
27	27	102	106	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		9	63	D#4	4	201
27	27	102	106	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	F#4	4	199
27	27	103	107	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	204
28	28	104	108	4.0		0	0	4/4	2	2	1	1	1		4	52	E3	3	210
28	28	104	108	4.0		0	0	4/4	2	1	1	1	1		1	55	G3	3	209
28	28	104	108	4.0		0	0	4/4	1	1	1	1	1		4	64	E4	4	207
28	28	104	108	4.0		0	0	4/4	1	2	1	1	1		4	64	E4	4	208
